product,negative,neutral,positive
flower,0.25587301587301586,0.17587301587301588,0.5682539682539682
oil,0.22577092511013216,0.17015418502202642,0.6040748898678414
gummies,0.32229580573951433,0.16666666666666666,0.5110375275938189
vape,0.33934120571783716,0.18458669981354878,0.47607209446861404
topical,0.1461187214611872,0.2054794520547945,0.6484018264840182
