year_month,product,sentiment,n_pairs,month_product_total,share
2022-09,gummies,neutral,10,53,0.18867924528301888
2022-09,gummies,positive,25,53,0.4716981132075472
2022-09,oil,negative,6,46,0.13043478260869565
2022-09,oil,neutral,8,46,0.17391304347826086
2022-09,oil,positive,32,46,0.6956521739130435
2022-09,topical,negative,1,9,0.1111111111111111
2022-09,topical,neutral,2,9,0.2222222222222222
2022-09,topical,positive,6,9,0.6666666666666666
2022-09,vape,negative,15,44,0.3409090909090909
2022-09,vape,neutral,5,44,0.11363636363636363
2022-09,vape,positive,24,44,0.5454545454545454
2022-10,flower,negative,14,37,0.3783783783783784
2022-10,flower,neutral,3,37,0.08108108108108109
2022-10,flower,positive,20,37,0.5405405405405406
2022-10,gummies,negative,12,43,0.27906976744186046
2022-10,gummies,neutral,8,43,0.18604651162790697
2022-10,gummies,positive,23,43,0.5348837209302325
2022-10,oil,negative,14,49,0.2857142857142857
2022-10,oil,neutral,7,49,0.14285714285714285
2022-10,oil,positive,28,49,0.5714285714285714
2022-10,topical,neutral,1,2,0.5
2022-10,topical,positive,1,2,0.5
2022-10,vape,negative,16,50,0.32
2022-10,vape,neutral,11,50,0.22
2022-10,vape,positive,23,50,0.46
2022-11,flower,negative,10,49,0.20408163265306123
2022-11,flower,neutral,12,49,0.24489795918367346
2022-11,flower,positive,27,49,0.5510204081632653
2022-11,gummies,negative,13,44,0.29545454545454547
2022-11,gummies,neutral,8,44,0.18181818181818182
2022-11,gummies,positive,23,44,0.5227272727272727
2022-11,oil,negative,14,53,0.2641509433962264
2022-11,oil,neutral,11,53,0.20754716981132076
2022-11,oil,positive,28,53,0.5283018867924528
2022-11,topical,neutral,2,7,0.2857142857142857
2022-11,topical,positive,5,7,0.7142857142857143
2022-11,vape,negative,20,52,0.38461538461538464
2022-11,vape,neutral,7,52,0.1346153846153846
2022-11,vape,positive,25,52,0.4807692307692308
2022-12,flower,negative,10,46,0.21739130434782608
2022-12,flower,neutral,10,46,0.21739130434782608
2022-12,flower,positive,26,46,0.5652173913043478
2022-12,gummies,negative,17,54,0.3148148148148148
2022-12,gummies,neutral,10,54,0.18518518518518517
2022-12,gummies,positive,27,54,0.5
2022-12,oil,negative,9,55,0.16363636363636364
2022-12,oil,neutral,3,55,0.05454545454545454
2022-12,oil,positive,43,55,0.7818181818181819
2022-12,topical,neutral,1,2,0.5
2022-12,topical,positive,1,2,0.5
2022-12,vape,negative,15,42,0.35714285714285715
2022-12,vape,neutral,9,42,0.21428571428571427
2022-12,vape,positive,18,42,0.42857142857142855
2023-01,flower,negative,16,48,0.3333333333333333
2023-01,flower,neutral,9,48,0.1875
2023-01,flower,positive,23,48,0.4791666666666667
2023-01,gummies,negative,21,54,0.3888888888888889
2023-01,gummies,neutral,11,54,0.2037037037037037
2023-01,gummies,positive,22,54,0.4074074074074074
2023-01,oil,negative,7,49,0.14285714285714285
2023-01,oil,neutral,10,49,0.20408163265306123
2023-01,oil,positive,32,49,0.6530612244897959
2023-01,topical,negative,6,14,0.42857142857142855
2023-01,topical,neutral,1,14,0.07142857142857142
2023-01,topical,positive,7,14,0.5
2023-01,vape,negative,13,43,0.3023255813953488
2023-01,vape,neutral,6,43,0.13953488372093023
2023-01,vape,positive,24,43,0.5581395348837209
2023-02,flower,negative,8,38,0.21052631578947367
2023-02,flower,neutral,10,38,0.2631578947368421
2023-02,flower,positive,20,38,0.5263157894736842
2023-02,gummies,negative,16,54,0.2962962962962963
2023-02,gummies,neutral,15,54,0.2777777777777778
2023-02,gummies,positive,23,54,0.42592592592592593
2023-02,oil,negative,8,46,0.17391304347826086
2023-02,oil,neutral,12,46,0.2608695652173913
2023-02,oil,positive,26,46,0.5652173913043478
2023-02,topical,negative,2,3,0.6666666666666666
2023-02,topical,positive,1,3,0.3333333333333333
2023-02,vape,negative,16,38,0.42105263157894735
2023-02,vape,neutral,7,38,0.18421052631578946
2023-02,vape,positive,15,38,0.39473684210526316
2023-03,flower,negative,13,43,0.3023255813953488
2023-03,flower,neutral,8,43,0.18604651162790697
2023-03,flower,positive,22,43,0.5116279069767442
2023-03,gummies,negative,13,45,0.28888888888888886
2023-03,gummies,neutral,8,45,0.17777777777777778
2023-03,gummies,positive,24,45,0.5333333333333333
2023-03,oil,negative,13,42,0.30952380952380953
2023-03,oil,neutral,7,42,0.16666666666666666
2023-03,oil,positive,22,42,0.5238095238095238
2023-03,topical,neutral,2,9,0.2222222222222222
2023-03,topical,positive,7,9,0.7777777777777778
2023-03,vape,negative,10,34,0.29411764705882354
2023-03,vape,neutral,4,34,0.11764705882352941
2023-03,vape,positive,20,34,0.5882352941176471
2023-04,flower,negative,4,43,0.09302325581395349
2023-04,flower,neutral,7,43,0.16279069767441862
2023-04,flower,positive,32,43,0.7441860465116279
2023-04,gummies,negative,21,54,0.3888888888888889
2023-04,gummies,neutral,10,54,0.18518518518518517
2023-04,gummies,positive,23,54,0.42592592592592593
2023-04,oil,negative,8,43,0.18604651162790697
2023-04,oil,neutral,5,43,0.11627906976744186
2023-04,oil,positive,30,43,0.6976744186046512
2023-04,topical,positive,2,2,1.0
2023-04,vape,negative,16,43,0.37209302325581395
2023-04,vape,neutral,9,43,0.20930232558139536
2023-04,vape,positive,18,43,0.4186046511627907
2023-05,flower,negative,13,41,0.3170731707317073
2023-05,flower,neutral,5,41,0.12195121951219512
2023-05,flower,positive,23,41,0.5609756097560976
2023-05,gummies,negative,15,49,0.30612244897959184
2023-05,gummies,neutral,10,49,0.20408163265306123
2023-05,gummies,positive,24,49,0.4897959183673469
2023-05,oil,negative,6,44,0.13636363636363635
2023-05,oil,neutral,9,44,0.20454545454545456
2023-05,oil,positive,29,44,0.6590909090909091
2023-05,topical,neutral,2,9,0.2222222222222222
2023-05,topical,positive,7,9,0.7777777777777778
2023-05,vape,negative,13,39,0.3333333333333333
2023-05,vape,neutral,9,39,0.23076923076923078
2023-05,vape,positive,17,39,0.4358974358974359
2023-06,flower,negative,11,41,0.2682926829268293
2023-06,flower,neutral,6,41,0.14634146341463414
2023-06,flower,positive,24,41,0.5853658536585366
2023-06,gummies,negative,16,51,0.3137254901960784
2023-06,gummies,neutral,10,51,0.19607843137254902
2023-06,gummies,positive,25,51,0.49019607843137253
2023-06,oil,negative,12,49,0.24489795918367346
2023-06,oil,neutral,11,49,0.22448979591836735
2023-06,oil,positive,26,49,0.5306122448979592
2023-06,topical,negative,1,6,0.16666666666666666
2023-06,topical,positive,5,6,0.8333333333333334
2023-06,vape,negative,15,45,0.3333333333333333
2023-06,vape,neutral,7,45,0.15555555555555556
2023-06,vape,positive,23,45,0.5111111111111111
2023-07,flower,negative,12,45,0.26666666666666666
2023-07,flower,neutral,6,45,0.13333333333333333
2023-07,flower,positive,27,45,0.6
2023-07,gummies,negative,10,49,0.20408163265306123
2023-07,gummies,neutral,11,49,0.22448979591836735
2023-07,gummies,positive,28,49,0.5714285714285714
2023-07,oil,negative,12,49,0.24489795918367346
2023-07,oil,neutral,7,49,0.14285714285714285
2023-07,oil,positive,30,49,0.6122448979591837
2023-07,topical,negative,2,8,0.25
2023-07,topical,neutral,1,8,0.125
2023-07,topical,positive,5,8,0.625
2023-07,vape,negative,20,45,0.4444444444444444
2023-07,vape,neutral,9,45,0.2
2023-07,vape,positive,16,45,0.35555555555555557
2023-08,flower,negative,14,48,0.2916666666666667
2023-08,flower,neutral,8,48,0.16666666666666666
2023-08,flower,positive,26,48,0.5416666666666666
2023-08,gummies,negative,22,64,0.34375
2023-08,gummies,neutral,14,64,0.21875
2023-08,gummies,positive,28,64,0.4375
2023-08,oil,negative,10,49,0.20408163265306123
2023-08,oil,neutral,12,49,0.24489795918367346
2023-08,oil,positive,27,49,0.5510204081632653
2023-08,topical,negative,1,5,0.2
2023-08,topical,neutral,1,5,0.2
2023-08,topical,positive,3,5,0.6
2023-08,vape,negative,12,45,0.26666666666666666
2023-08,vape,neutral,9,45,0.2
2023-08,vape,positive,24,45,0.5333333333333333
2023-09,flower,negative,13,49,0.2653061224489796
2023-09,flower,neutral,9,49,0.1836734693877551
2023-09,flower,positive,27,49,0.5510204081632653
2023-09,gummies,negative,22,49,0.4489795918367347
2023-09,gummies,neutral,9,49,0.1836734693877551
2023-09,gummies,positive,18,49,0.3673469387755102
2023-09,oil,negative,17,54,0.3148148148148148
2023-09,oil,neutral,5,54,0.09259259259259259
2023-09,oil,positive,32,54,0.5925925925925926
2023-09,topical,positive,3,3,1.0
2023-09,vape,negative,18,54,0.3333333333333333
2023-09,vape,neutral,11,54,0.2037037037037037
2023-09,vape,positive,25,54,0.46296296296296297
2023-10,flower,negative,15,48,0.3125
2023-10,flower,neutral,8,48,0.16666666666666666
2023-10,flower,positive,25,48,0.5208333333333334
2023-10,gummies,negative,13,49,0.2653061224489796
2023-10,gummies,neutral,7,49,0.14285714285714285
2023-10,gummies,positive,29,49,0.5918367346938775
2023-10,oil,negative,13,47,0.2765957446808511
2023-10,oil,neutral,9,47,0.19148936170212766
2023-10,oil,positive,25,47,0.5319148936170213
2023-10,topical,neutral,2,7,0.2857142857142857
2023-10,topical,positive,5,7,0.7142857142857143
2023-10,vape,negative,14,45,0.3111111111111111
2023-10,vape,neutral,9,45,0.2
2023-10,vape,positive,22,45,0.4888888888888889
2023-11,flower,negative,3,40,0.075
2023-11,flower,neutral,5,40,0.125
2023-11,flower,positive,32,40,0.8
2023-11,gummies,negative,15,61,0.2459016393442623
2023-11,gummies,neutral,12,61,0.19672131147540983
2023-11,gummies,positive,34,61,0.5573770491803278
2023-11,oil,negative,10,57,0.17543859649122806
2023-11,oil,neutral,5,57,0.08771929824561403
2023-11,oil,positive,42,57,0.7368421052631579
2023-11,topical,negative,1,4,0.25
2023-11,topical,neutral,1,4,0.25
2023-11,topical,positive,2,4,0.5
2023-11,vape,negative,9,39,0.23076923076923078
2023-11,vape,neutral,12,39,0.3076923076923077
2023-11,vape,positive,18,39,0.46153846153846156
2023-12,flower,negative,14,43,0.32558139534883723
2023-12,flower,neutral,9,43,0.20930232558139536
2023-12,flower,positive,20,43,0.46511627906976744
2023-12,gummies,negative,16,54,0.2962962962962963
2023-12,gummies,neutral,9,54,0.16666666666666666
2023-12,gummies,positive,29,54,0.5370370370370371
2023-12,oil,negative,14,60,0.23333333333333334
2023-12,oil,neutral,8,60,0.13333333333333333
2023-12,oil,positive,38,60,0.6333333333333333
2023-12,topical,negative,1,7,0.14285714285714285
2023-12,topical,neutral,1,7,0.14285714285714285
2023-12,topical,positive,5,7,0.7142857142857143
2023-12,vape,negative,13,45,0.28888888888888886
2023-12,vape,neutral,12,45,0.26666666666666666
2023-12,vape,positive,20,45,0.4444444444444444
