year_month,flower,oil,gummies,vape,topical
2022-01,0.13725490196078433,0.2916666666666667,0.04,0.3469387755102041,0.6666666666666666
2022-02,0.25,0.38095238095238093,0.4222222222222222,0.17777777777777778,0.7142857142857143
2022-03,0.3541666666666667,0.5384615384615384,-0.04878048780487805,0.23404255319148937,0.75
2022-04,0.2826086956521739,0.21153846153846154,0.19148936170212766,0.13157894736842105,0.375
2022-05,0.4358974358974359,0.3695652173913043,0.07142857142857142,0.08333333333333333,1.0
2022-06,0.3137254901960784,0.2413793103448276,0.13636363636363635,0.175,0.6666666666666666
2022-07,0.15625,0.19298245614035087,0.2553191489361702,0.0625,0.5454545454545454
2022-08,0.2857142857142857,0.22916666666666666,0.2608695652173913,0.1568627450980392,0.5
2022-09,0.10526315789473684,0.5652173913043478,0.1320754716981132,0.20454545454545456,0.5555555555555556
2022-10,0.16216216216216217,0.2857142857142857,0.2558139534883721,0.14,0.5
2022-11,0.3469387755102041,0.2641509433962264,0.22727272727272727,0.09615384615384616,0.7142857142857143
2022-12,0.34782608695652173,0.6181818181818182,0.18518518518518517,0.07142857142857142,0.5
2023-01,0.14583333333333334,0.5102040816326531,0.018518518518518517,0.2558139534883721,0.07142857142857142
2023-02,0.3157894736842105,0.391304347826087,0.12962962962962962,-0.02631578947368421,-0.3333333333333333
2023-03,0.20930232558139536,0.21428571428571427,0.24444444444444444,0.29411764705882354,0.7777777777777778
2023-04,0.6511627906976745,0.5116279069767442,0.037037037037037035,0.046511627906976744,1.0
2023-05,0.24390243902439024,0.5227272727272727,0.1836734693877551,0.10256410256410256,0.7777777777777778
2023-06,0.3170731707317073,0.2857142857142857,0.17647058823529413,0.17777777777777778,0.6666666666666666
2023-07,0.3333333333333333,0.3673469387755102,0.3673469387755102,-0.08888888888888889,0.375
2023-08,0.25,0.3469387755102041,0.09375,0.26666666666666666,0.4
2023-09,0.2857142857142857,0.2777777777777778,-0.08163265306122448,0.12962962962962962,1.0
2023-10,0.20833333333333334,0.2553191489361702,0.32653061224489793,0.17777777777777778,0.7142857142857143
2023-11,0.725,0.5614035087719298,0.3114754098360656,0.23076923076923078,0.25
2023-12,0.13953488372093023,0.4,0.24074074074074073,0.15555555555555556,0.5714285714285714
2024-01,0.3170731707317073,0.1724137931034483,0.05172413793103448,0.0975609756097561,0.2857142857142857
2024-02,0.35294117647058826,0.21666666666666667,0.22641509433962265,0.14893617021276595,0.16666666666666666
2024-03,0.3333333333333333,0.32653061224489793,-0.022727272727272728,-0.18421052631578946,-0.3333333333333333
2024-04,0.30612244897959184,0.36538461538461536,0.3392857142857143,0.14,-0.3333333333333333
2024-05,0.24242424242424243,0.44,0.3023255813953488,0.10810810810810811,0.0
2024-06,0.574468085106383,0.4,0.05357142857142857,0.24,1.0
2024-07,0.37209302325581395,0.38461538461538464,0.5510204081632653,0.08,1.0
2024-08,0.3050847457627119,0.4423076923076923,0.46,-0.058823529411764705,0.25
2024-09,0.4594594594594595,0.3695652173913043,0.14285714285714285,0.12962962962962962,0.5
2024-10,0.3409090909090909,0.660377358490566,0.24561403508771928,0.05084745762711865,0.2857142857142857
2024-11,0.2826086956521739,0.5111111111111111,0.2,0.3170731707317073,0.5
2024-12,0.36585365853658536,0.5714285714285714,0.11904761904761904,0.22,0.6
