year_month,negative,neutral,positive
2022-01,0.28431372549019607,0.21568627450980393,0.5
2022-02,0.24064171122994651,0.19786096256684493,0.5614973262032086
2022-03,0.2916666666666667,0.11979166666666667,0.5885416666666666
2022-04,0.3193717277486911,0.14659685863874344,0.5340314136125655
2022-05,0.2756756756756757,0.1837837837837838,0.5405405405405406
2022-06,0.2722772277227723,0.21287128712871287,0.5148514851485149
2022-07,0.30726256983240224,0.18435754189944134,0.5083798882681564
2022-08,0.30256410256410254,0.15384615384615385,0.5435897435897435
2022-09,0.2789473684210526,0.1736842105263158,0.5473684210526316
2022-10,0.30939226519337015,0.16574585635359115,0.5248618784530387
2022-11,0.2780487804878049,0.1951219512195122,0.526829268292683
2022-12,0.2562814070351759,0.1658291457286432,0.5778894472361809
2023-01,0.30288461538461536,0.1778846153846154,0.5192307692307693
2023-02,0.27932960893854747,0.24581005586592178,0.4748603351955307
2023-03,0.2832369942196532,0.1676300578034682,0.5491329479768786
2023-04,0.2648648648648649,0.16756756756756758,0.5675675675675675
2023-05,0.25824175824175827,0.19230769230769232,0.5494505494505495
2023-06,0.2864583333333333,0.17708333333333334,0.5364583333333334
2023-07,0.2857142857142857,0.17346938775510204,0.5408163265306123
2023-08,0.2796208530805687,0.20853080568720378,0.5118483412322274
2023-09,0.3349282296650718,0.16267942583732056,0.5023923444976076
2023-10,0.28061224489795916,0.17857142857142858,0.5408163265306123
2023-11,0.1890547263681592,0.17412935323383086,0.6368159203980099
2023-12,0.27751196172248804,0.18660287081339713,0.5358851674641149
2024-01,0.3170731707317073,0.2097560975609756,0.47317073170731705
2024-02,0.2857142857142857,0.1935483870967742,0.5207373271889401
2024-03,0.38414634146341464,0.12804878048780488,0.4878048780487805
2024-04,0.2857142857142857,0.14761904761904762,0.5666666666666667
2024-05,0.26506024096385544,0.18674698795180722,0.5481927710843374
2024-06,0.2761904761904762,0.13333333333333333,0.5904761904761905
2024-07,0.25757575757575757,0.12626262626262627,0.6161616161616161
2024-08,0.2818181818181818,0.15,0.5681818181818182
2024-09,0.2814070351758794,0.17587939698492464,0.542713567839196
2024-10,0.2636363636363636,0.1590909090909091,0.5772727272727273
2024-11,0.2346368715083799,0.2011173184357542,0.5642458100558659
2024-12,0.25,0.16145833333333334,0.5885416666666666
