year_month,product,avg_sentiment_score,n_pairs
2024-07,gummies,0.5510204081632653,49
2024-07,oil,0.38461538461538464,52
2024-07,topical,1.0,4
2024-07,vape,0.08,50
2024-08,flower,0.3050847457627119,59
2024-08,gummies,0.46,50
2024-08,oil,0.4423076923076923,52
2024-08,topical,0.25,8
2024-08,vape,-0.058823529411764705,51
2024-09,flower,0.4594594594594595,37
2024-09,gummies,0.14285714285714285,56
2024-09,oil,0.3695652173913043,46
2024-09,topical,0.5,6
2024-09,vape,0.12962962962962962,54
2024-10,flower,0.3409090909090909,44
2024-10,gummies,0.24561403508771928,57
2024-10,oil,0.660377358490566,53
2024-10,topical,0.2857142857142857,7
2024-10,vape,0.05084745762711865,59
2024-11,flower,0.2826086956521739,46
2024-11,gummies,0.2,45
2024-11,oil,0.5111111111111111,45
2024-11,topical,0.5,2
2024-11,vape,0.3170731707317073,41
2024-12,flower,0.36585365853658536,41
2024-12,gummies,0.11904761904761904,42
2024-12,oil,0.5714285714285714,49
2024-12,topical,0.6,10
2024-12,vape,0.22,50
